symbol,exchange,date
MRO,NY,2016-09-12
MRO,NY,2016-09-13
MRO,NY,2016-09-14
MRO,NY,2016-09-28
MRO,NY,2016-09-29
MRO,NY,2016-11-03
MRO,NY,2016-11-04
MRO,NY,2016-11-07
MRO,NY,2016-11-08
MRO,NY,2016-11-29
MRO,NY,2016-12-01
MUR,NY,2016-08-01
MUR,NY,2016-08-02
MUR,NY,2016-09-08
MUR,NY,2016-09-09
MUR,NY,2016-09-12
MUR,NY,2016-09-13
MUR,NY,2016-09-14
MUR,NY,2016-09-15
MUR,NY,2016-09-23
MUR,NY,2016-09-28
MUR,NY,2016-09-29
MUR,NY,2016-10-27
MUR,NY,2016-10-28
MUR,NY,2016-10-31
MUR,NY,2016-11-01
MYL,NAS,2016-11-08
MYL,NAS,2016-11-09
NEM,NY,2016-11-11
NEM,NY,2016-11-14
NOV,NY,2016-09-12
NRG,NY,2016-09-09
NRG,NY,2016-09-13
NRG,NY,2016-09-14
NRG,NY,2016-11-04
NRG,NY,2016-11-08
NRG,NY,2016-11-09
NRG,NY,2016-11-10
QRVO,NAS,2016-11-08
REGN,NAS,2016-11-08
REGN,NAS,2016-11-09
RIG,NY,2016-08-01
RIG,NY,2016-08-04
RIG,NY,2016-08-10
RIG,NY,2016-08-15
RIG,NY,2016-08-16
RIG,NY,2016-09-09
RIG,NY,2016-09-12
RIG,NY,2016-09-13
RIG,NY,2016-09-14
RIG,NY,2016-09-28
RIG,NY,2016-09-29
RIG,NY,2016-10-03
RIG,NY,2016-10-04
RIG,NY,2016-10-05
RIG,NY,2016-10-06
RIG,NY,2016-11-03
RIG,NY,2016-11-04
RIG,NY,2016-11-08
RIG,NY,2016-11-09
RIG,NY,2016-12-06
RIG,NY,2016-12-12
RIG,NY,2016-12-13
RIG,NY,2016-12-14
RIG,NY,2016-12-15
RRC,NY,2016-09-14
RRC,NY,2016-11-08
RRC,NY,2016-11-09
RRC,NY,2016-12-12
RRC,NY,2016-12-14
SWN,NY,2016-09-08
SWN,NY,2016-09-09
SWN,NY,2016-09-12
SWN,NY,2016-09-13
SWN,NY,2016-09-14
SWN,NY,2016-09-15
SWN,NY,2016-09-27
SWN,NY,2016-09-28
SWN,NY,2016-09-29
SWN,NY,2016-10-14
SWN,NY,2016-10-17
SWN,NY,2016-10-21
SWN,NY,2016-10-24
SWN,NY,2016-10-27
SWN,NY,2016-11-01
SWN,NY,2016-11-02
SWN,NY,2016-11-03
SWN,NY,2016-11-08
SWN,NY,2016-11-09
SWN,NY,2016-11-10
SWN,NY,2016-11-14
SWN,NY,2016-11-15
SWN,NY,2016-11-17
SWN,NY,2016-11-21
SWN,NY,2016-11-22
SWN,NY,2016-11-30
SWN,NY,2016-12-01
SWN,NY,2016-12-02
SWN,NY,2016-12-05
SWN,NY,2016-12-06
SWN,NY,2016-12-12
SWN,NY,2016-12-13
SWN,NY,2016-12-14
SWN,NY,2016-12-15
TRIP,NAS,2016-11-09
WMB,NY,2016-08-03
WMB,NY,2016-08-04
YUM,NY,2016-11-08
